name,portrait_file,prompt
Lance,lance.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Lance | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: Lance, the first and frontmost of Pests and Chests | Scene/backdrop: subtle environment hint inspired by: Lance, the first and frontmost of Pests and Chests | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Lana,lana.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Lana | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: Justice is blind, and Lana is arbitary, the only reward is in smiting | Scene/backdrop: subtle environment hint inspired by: Justice is blind, and Lana is arbitary, the only reward is in smiting | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Dronan,dronan.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Dronan | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: ""For the last time, I do not lay eggs!"" | Scene/backdrop: subtle environment hint inspired by: ""For the last time, I do not lay eggs!"" | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Saladin,saladin.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Saladin | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: Since leaving his rulers in Jazeeria, Saladin bows to no one. | Scene/backdrop: subtle environment hint inspired by: Since leaving his rulers in Jazeeria, Saladin bows to no one. | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Erika,erika.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Erika | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: ""I wasn't kicked out of the university! I can learn my own way of magic through adventuring."" | Scene/backdrop: subtle environment hint inspired by: ""I wasn't kicked out of the university! I can learn my own way of magic through adventuring."" | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Byron,byron.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Byron | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: ""Who?"" | Scene/backdrop: subtle environment hint inspired by: ""Who?"" | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Corric,corric.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Corric | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: ""Question!"" | Scene/backdrop: subtle environment hint inspired by: ""Question!"" | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Rinse,rinse.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Rinse | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: What if we simply destroyed the world? Then what would they do? | Scene/backdrop: subtle environment hint inspired by: What if we simply destroyed the world? Then what would they do? | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Gelemire,gelemire.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Gelemire | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: ""and you must be Gele.. - sound of fist connecting with nose-"" | Scene/backdrop: subtle environment hint inspired by: ""and you must be Gele.. - sound of fist connecting with nose-"" | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
Ztun,ztun.png,"Use case: illustration-story | Asset type: portrait illustration for a trading card game character | Primary request: create a fantasy portrait of Ztun | Style/medium: painted fantasy illustration, high detail, card-art quality, readable at small size | Composition/framing: vertical portrait, chest-up or waist-up, centered subject, strong silhouette, leave room near edges for card frame crop | Lighting/mood: dramatic but clean key light, rich contrast, heroic tabletop-card presentation | Color palette: faction-driven fantasy palette with clear subject separation from background | Subject: Ztuns talents were for digging, adventuring merely gave him the chance to discover his passion, potatoes | Scene/backdrop: subtle environment hint inspired by: Ztuns talents were for digging, adventuring merely gave him the chance to discover his passion, potatoes | Constraints: one main subject only, no text, no watermark, no UI, no extra hands, no duplicate faces, no busy background | Avoid: logo marks, borders, captions, collage layout, photoreal uncanny details"
